,sentence,target,target_type,category,polarity,opinin_Term
1866,"Their calzones are horrific , bad , vomit-inducing , YUCK .",calzones,explicit,FOOD QUALITY,negative,bad
1867,"Their calzones are horrific , bad , vomit-inducing , YUCK .",calzones,explicit,FOOD QUALITY,negative,vomit-inducing
1868,"Their calzones are horrific , bad , vomit-inducing , YUCK .",calzones,explicit,FOOD QUALITY,negative,YUCK
1869,Prices are in line .,NULL,implicit,RESTAURANT PRICES,neutral,in line
1870,I will definetly be going back .,NULL,implicit,RESTAURANT GENERAL,positive,going back
1871,We both opted for a pasta dish and they were served timely and fresh .,NULL,implicit,SERVICE GENERAL,positive,served timely
1872,We both opted for a pasta dish and they were served timely and fresh .,pasta dish,explicit,FOOD QUALITY,positive,fresh
1873,I 've been many time and have never been disappointed .,NULL,implicit,RESTAURANT GENERAL,positive,never been disappointed
1874,"They have great rolls , the triple color and norwegetan rolls , are awesome and filling .",rolls,explicit,FOOD QUALITY,positive,great
1875,"They have great rolls , the triple color and norwegetan rolls , are awesome and filling .",triple color and norwegetan rolls,explicit,FOOD QUALITY,positive,awesome
1876,"They have great rolls , the triple color and norwegetan rolls , are awesome and filling .",triple color and norwegetan rolls,explicit,FOOD STYLE_OPTIONS,positive,filling
1877,The potato balls were not dry at all ... in fact it was buttery .,potato balls,explicit,FOOD QUALITY,positive,not dry
1878,"Very , very nice",NULL,implicit,RESTAURANT GENERAL,positive,nice
1879,Have been several times and it never dissapoints .,NULL,implicit,RESTAURANT GENERAL,positive,never dissapoints
1880,"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",seafood,explicit,FOOD QUALITY,positive,amazing
1881,"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",wine list,explicit,DRINKS STYLE_OPTIONS,positive,good
1882,"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",menu,explicit,FOOD STYLE_OPTIONS,positive,ever-changing
1883,"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",menu,explicit,FOOD STYLE_OPTIONS,positive,great surprises
1884,Definitely a great spot for a nice occasion or date .,spot,explicit,RESTAURANT MISCELLANEOUS,positive,great
1885,The food is excellent !,food,explicit,FOOD QUALITY,positive,excellent
1886,One of the BEST,NULL,implicit,RESTAURANT GENERAL,positive,BEST
1887,We went around 9:30 on a Friday and it had died down a bit by then so the service was great !,service,explicit,SERVICE GENERAL,positive,great
1888,This place is always packed .,place,explicit,AMBIENCE GENERAL,neutral,packed
1889,"The food was good , the place was clean and affordable .",food,explicit,FOOD QUALITY,positive,good
1890,"The food was good , the place was clean and affordable .",place,explicit,AMBIENCE GENERAL,positive,clean
1891,"The food was good , the place was clean and affordable .",place,explicit,RESTAURANT PRICES,positive,affordable
1892,so delicious ! ! ! ! ! !,NULL,implicit,FOOD QUALITY,positive,delicious
1893,"I have known about this secret for the last 13 years , Emilio ( the Godfather ) has continued to serve food and wine for the gods at mortal prices .",food,explicit,FOOD QUALITY,positive,gods
1894,"I have known about this secret for the last 13 years , Emilio ( the Godfather ) has continued to serve food and wine for the gods at mortal prices .",wine,explicit,DRINKS QUALITY,positive,gods
1895,"I have known about this secret for the last 13 years , Emilio ( the Godfather ) has continued to serve food and wine for the gods at mortal prices .",food,explicit,FOOD PRICES,positive,mortal
1896,"I have known about this secret for the last 13 years , Emilio ( the Godfather ) has continued to serve food and wine for the gods at mortal prices .",wine,explicit,DRINKS PRICES,positive,mortal
1897,"Although the tables may be closely situated , the candle-light , food quality and service overcompensate .",candle-light,explicit,AMBIENCE GENERAL,positive,overcompensate
1898,"Although the tables may be closely situated , the candle-light , food quality and service overcompensate .",food,explicit,FOOD QUALITY,positive,overcompensate
1899,"Although the tables may be closely situated , the candle-light , food quality and service overcompensate .",service,explicit,SERVICE GENERAL,positive,overcompensate
1900,"Although the tables may be closely situated , the candle-light , food quality and service overcompensate .",tables,explicit,AMBIENCE GENERAL,negative,closely situated
1901,Dessert is a joke ... dont bother,Dessert,explicit,FOOD QUALITY,negative,joke
1902,Great staff .,staff,explicit,SERVICE GENERAL,positive,Great
1903,The food is okay and the prices here are mediocre .,food,explicit,FOOD QUALITY,neutral,okay
1904,The food is okay and the prices here are mediocre .,NULL,implicit,RESTAURANT PRICES,neutral,mediocre
1905,"At this point , the waitress comes over and asks us if everything was okay , I was literally so shocked that I was speechless and didn 't say anything , and guess what , the waitress WALKED away .",waitress,explicit,SERVICE GENERAL,negative,speechless
1906,I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood .,NULL,implicit,RESTAURANT GENERAL,positive,pleasantly suprised
1907,Loved It,NULL,implicit,RESTAURANT GENERAL,positive,Loved
1908,"If celebrities make you sweat , then your in for a ride , but if your like most around these parts then you 'll just yawn and wonder whats with all the hype .",NULL,implicit,RESTAURANT MISCELLANEOUS,negative,yawn
1909,A little crowded but they move that line really fast !,NULL,implicit,SERVICE GENERAL,positive,fast
1910,A little crowded but they move that line really fast !,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,crowded
1911,Gross food – Wow-,food,explicit,FOOD QUALITY,negative,Gross
1912,"The portions are HUGE , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people .",portions,explicit,FOOD STYLE_OPTIONS,neutral,HUGE
1913,"Try the Pad Thai , it's fabulous and their prices are so cheap !",Pad Thai,explicit,FOOD QUALITY,positive,Try
1914,"Try the Pad Thai , it's fabulous and their prices are so cheap !",Pad Thai,explicit,FOOD QUALITY,positive,fabulous
1915,"Try the Pad Thai , it's fabulous and their prices are so cheap !",NULL,implicit,RESTAURANT PRICES,positive,cheap
1916,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary , and to our surprise it was fantastic .",Jekyll and Hyde Pub,explicit,RESTAURANT GENERAL,positive,great
1917,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary , and to our surprise it was fantastic .",Jekyll and Hyde Pub,explicit,RESTAURANT GENERAL,positive,fantastic
1918,"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is I'm here to eat and enjoy the company of friends , seeking a pleasant experience .",NULL,implicit,SERVICE GENERAL,negative,bored
1919,My chow fun and chow see was really bland and oily .,chow fun and chow see,explicit,FOOD QUALITY,negative,bland
1920,My chow fun and chow see was really bland and oily .,chow fun and chow see,explicit,FOOD QUALITY,negative,oily
1921,"Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",open kitchen,explicit,AMBIENCE GENERAL,positive,charm
1922,"Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",restaurant,explicit,AMBIENCE GENERAL,negative,warm
1923,I recommend this place to everyone .,place,explicit,RESTAURANT GENERAL,positive,recommend
1924,"We had half/half pizza , mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza !",half/half pizza,explicit,FOOD STYLE_OPTIONS,positive,huge
1925,please don't fool us .,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,fool
1926,The food is tasty and portion sizes are appropriate .,food,explicit,FOOD QUALITY,positive,tasty
1927,The food is tasty and portion sizes are appropriate .,portion sizes,explicit,FOOD STYLE_OPTIONS,positive,appropriate
1928,"lobster was good , nothing spectacular .",lobster,explicit,FOOD QUALITY,neutral,good
1929,Chennai Garden is my favorite Indian restaurant in the city .,Chennai Garden,explicit,RESTAURANT GENERAL,positive,favorite
1930,Beautiful experience .,NULL,implicit,RESTAURANT GENERAL,positive,Beautiful
1931,"don't get me started on the margaritas , either .",margaritas,explicit,DRINKS QUALITY,negative,don't get me started
1932,Wretched and retching,NULL,implicit,RESTAURANT GENERAL,negative,Wretched
1933,Wretched and retching,NULL,implicit,RESTAURANT GENERAL,negative,retching
1934,"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",food,explicit,FOOD QUALITY,positive,delicious
1935,"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",dishes,explicit,FOOD QUALITY,positive,never a disappointment
1936,"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",specials,explicit,FOOD QUALITY,positive,delicious
1937,"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",regular menu-fare,explicit,FOOD QUALITY,positive,delicious
1938,Not because you are `` The Four Seasons `` ... – you are allowed to charge an arm and a leg for a romatic dinner .,The Four Seasons,explicit,RESTAURANT PRICES,negative,charge an arm and a leg
1939,The high prices you 're going to pay is for the view not for the food .,NULL,implicit,RESTAURANT PRICES,negative,high
1940,Located at the end of a magnificent block .,NULL,implicit,LOCATION GENERAL,positive,magnificent
1941,The staff is incredibly helpful and attentive .,staff,explicit,SERVICE GENERAL,positive,helpful
1942,The staff is incredibly helpful and attentive .,staff,explicit,SERVICE GENERAL,positive,attentive
1943,It was well worth the wait .,NULL,implicit,RESTAURANT GENERAL,positive,worth
1944,Taxan delicious !,Taxan,explicit,FOOD QUALITY,positive,delicious
1945,"it's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",NULL,implicit,AMBIENCE GENERAL,negative,boring
1946,"it's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",sushi,explicit,FOOD QUALITY,negative,below average
1947,"it's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",tuna,explicit,FOOD QUALITY,negative,soggy
1948,"it's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",rolls,explicit,FOOD QUALITY,negative,no flavor
1949,"Be prepared to wait , because the place is pretty tiny .",place,explicit,RESTAURANT MISCELLANEOUS,negative,tiny
1950,"Be prepared to wait , because the place is pretty tiny .",place,explicit,AMBIENCE GENERAL,negative,tiny
1951,Fantastic place .,place,explicit,RESTAURANT GENERAL,positive,Fantastic
1952,it's definately not a place to go if you want to impress someone .,place,explicit,RESTAURANT MISCELLANEOUS,negative,impress
1953,"However , once I received my predictably mediocre order of what Dokebi thinks passes as Korean fair , ( sometimes you have to settle when it's your only option ) , I got through about half my kimchee before I found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin .",kimchee,explicit,FOOD QUALITY,negative,disgusting
1954,"However , once I received my predictably mediocre order of what Dokebi thinks passes as Korean fair , ( sometimes you have to settle when it's your only option ) , I got through about half my kimchee before I found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin .",Korean fair,explicit,FOOD QUALITY,negative,mediocre
